ItemCode,ItemName,Category,Price,StockQty,ExpiryDate,Description
1001,Paracetamol 500mg,Analgesic,15.50,150,2027-12-31,مسكن للألم وخافض للحرارة
1002,Panadol Extra,Analgesic,25.00,180,2027-02-10,مسكن قوي مع كافيين
1003,Ibuprofen 400mg,Analgesic,22.00,180,2027-11-10,مسكن مضاد للالتهاب
1004,Aspirin 81mg,Analgesic,12.00,220,2028-01-15,مضاد لتجلط الدم
1005,Ketoprofen Gel,Topical,38.00,70,2027-09-25,جل موضعي للألم
1006,Diclofenac 50mg,Analgesic,28.00,100,2027-08-20,مسكن مضاد للالتهاب
1007,Naproxen 500mg,Analgesic,42.00,60,2027-10-15,مسكن قوي
1008,Tramadol 50mg,Analgesic,55.00,40,2027-06-30,مسكن أفيوني
1101,Amoxicillin 500mg,Antibiotic,45.00,80,2027-06-30,مضاد حيوي واسع الطيف
1102,Augmentin 1g,Antibiotic,95.00,25,2027-04-15,مضاد حيوي مركب
1103,Azithromycin 500mg,Antibiotic,65.00,45,2027-05-20,مضاد حيوي ماكروليد
1104,Ciprofloxacin 500mg,Antibiotic,55.00,50,2027-07-10,مضاد حيوي كينولون
1105,Cefixime 400mg,Antibiotic,75.00,40,2027-08-15,سيفالوسبورين
1106,Doxycycline 100mg,Antibiotic,38.00,70,2027-09-01,تتراسيكلين
1201,Vitamin C 1000mg,Vitamin,35.00,200,2028-03-15,فيتامين سي لتعزيز المناعة
1202,Vitamin D3 5000IU,Vitamin,45.00,150,2028-05-10,فيتامين د
1203,Folic Acid 5mg,Vitamin,20.00,160,2028-04-20,حمض الفوليك للحوامل
1204,Calcium D3,Vitamin,42.00,95,2028-07-15,كالسيوم مع فيتامين د
1205,Iron Supplement 65mg,Vitamin,28.00,130,2028-03-10,مكمل حديد
1206,Multivitamin Complex,Vitamin,65.00,100,2028-06-01,فيتامينات متعددة
1207,Vitamin B12 1000mcg,Vitamin,55.00,120,2028-08-20,فيتامين ب12
1208,Omega-3 Fish Oil,Vitamin,85.00,80,2028-09-15,أوميغا 3
1301,Omeprazole 20mg,Gastrointestinal,28.00,120,2027-09-20,لعلاج حموضة المعدة
1302,Nexium 40mg,Gastrointestinal,68.00,50,2027-08-12,لعلاج ارتجاع المريء
1303,Antacid Suspension,Gastrointestinal,18.00,200,2027-12-01,مضاد حموضة سائل
1304,Motilium 10mg,Gastrointestinal,35.00,80,2027-10-25,لعلاج الغثيان
1305,Imodium 2mg,Gastrointestinal,22.00,150,2027-11-15,لعلاج الإسهال
1306,Buscopan 10mg,Gastrointestinal,32.00,100,2027-09-30,مضاد تشنجات
1401,Concor 5mg,Cardiovascular,52.00,40,2028-06-18,لعلاج ضغط الدم
1402,Atorvastatin 20mg,Cardiovascular,55.00,45,2027-10-05,لخفض الكوليسترول
1403,Metoprolol 50mg,Cardiovascular,48.00,60,2028-04-10,لعلاج ضغط الدم
1404,Amlodipine 5mg,Cardiovascular,42.00,80,2028-05-15,لعلاج ضغط الدم
1405,Lisinopril 10mg,Cardiovascular,38.00,70,2028-03-20,لعلاج ضغط الدم
1406,Clopidogrel 75mg,Cardiovascular,68.00,30,2027-11-10,مضاد للصفائح
1407,Warfarin 5mg,Cardiovascular,45.00,25,2027-09-20,مضاد للتخثر
1501,Metformin 500mg,Diabetes,32.00,60,2027-07-18,لعلاج السكري
1502,Glimepiride 2mg,Diabetes,45.00,50,2027-09-25,سلفونيل يوريا
1503,Insulin Pen,Diabetes,185.00,25,2027-08-30,أنسولين
1601,Salbutamol Inhaler,Respiratory,85.00,35,2027-05-20,موسع للشعب
1602,Ventolin Inhaler,Respiratory,95.00,30,2027-06-15,موسع للشعب
1603,Montelukast 10mg,Respiratory,75.00,45,2027-10-10,لعلاج الربو
1701,Cetirizine 10mg,Antihistamine,18.00,90,2027-08-25,مضاد للحساسية
1702,Loratadine 10mg,Antihistamine,22.00,100,2027-09-15,مضاد للحساسية
1703,Fexofenadine 180mg,Antihistamine,48.00,60,2027-11-20,مضاد للحساسية
1801,Panadol Cold,OTC,28.00,150,2027-12-20,لعلاج البرد
1802,Congestal,OTC,22.00,180,2027-11-25,لعلاج البرد والزكام
1803,Cough Syrup,OTC,35.00,100,2027-10-30,شراب للسعال
1804,Throat Lozenges,OTC,18.00,200,2028-01-10,أقراص للحلق
1901,Ketoconazole Cream,Topical,55.00,60,2027-09-15,كريم مضاد للفطريات
1902,Hydrocortisone Cream,Topical,32.00,80,2027-10-20,كريم كورتيزون
2001,Moisturizing Cream,Cosmetic,45.00,110,2028-12-01,كريم مرطب للبشرة الجافة
2002,Sunscreen SPF50,Cosmetic,75.00,85,2028-05-30,واقي شمس للبشرة الحساسة
