═══════════════════════════════════════════════════════════
  COMPLETE DATABASE SCHEMA
═══════════════════════════════════════════════════════════
       table_name        |       column_name       |        data_type         | max_len | is_nullable |               column_default               
-------------------------+-------------------------+--------------------------+---------+-------------+--------------------------------------------
 alerts                  | id                      | uuid                     |         | NO          | gen_random_uuid()
 alerts                  | pharmacy_id             | character varying        |      36 | YES         | 
 alerts                  | type                    | character varying        |      50 | NO          | 
 alerts                  | severity                | character varying        |      20 | YES         | 'info'::character varying
 alerts                  | title                   | character varying        |     200 | NO          | 
 alerts                  | message                 | text                     |         | YES         | 
 alerts                  | data                    | jsonb                    |         | YES         | '{}'::jsonb
 alerts                  | is_resolved             | boolean                  |         | YES         | false
 alerts                  | resolved_at             | timestamp with time zone |         | YES         | 
 alerts                  | resolved_by             | character varying        |      36 | YES         | 
 alerts                  | created_at              | timestamp with time zone |         | YES         | now()
 api_keys                | id                      | uuid                     |         | NO          | gen_random_uuid()
 api_keys                | pharmacy_id             | character varying        |      36 | YES         | 
 api_keys                | name                    | character varying        |     100 | NO          | 
 api_keys                | key_hash                | character varying        |     255 | NO          | 
 api_keys                | key_prefix              | character varying        |      20 | NO          | 
 api_keys                | scopes                  | jsonb                    |         | YES         | '[]'::jsonb
 api_keys                | rate_limit              | integer                  |         | YES         | 1000
 api_keys                | is_active               | boolean                  |         | YES         | true
 api_keys                | last_used_at            | timestamp with time zone |         | YES         | 
 api_keys                | expires_at              | timestamp with time zone |         | YES         | 
 api_keys                | created_at              | timestamp with time zone |         | YES         | now()
 api_keys                | updated_at              | timestamp with time zone |         | YES         | now()
 assignments             | id                      | character varying        |      36 | NO          | 
 assignments             | report_id               | character varying        |      36 | NO          | 
 assignments             | team_member_id          | character varying        |      36 | NO          | 
 assignments             | assigned_by             | character varying        |      36 | YES         | 
 assignments             | assigned_at             | timestamp with time zone |         | YES         | now()
 assignments             | sla_deadline            | timestamp with time zone |         | YES         | 
 assignments             | priority_score          | integer                  |         | YES         | 
 assignments             | status                  | character varying        |      20 | NO          | 
 assignments             | escalated               | character varying        |      10 | YES         | 
 assignments             | escalated_at            | timestamp with time zone |         | YES         | 
 assignments             | action_taken            | text                     |         | YES         | 
 assignments             | notes                   | text                     |         | YES         | 
 assignments             | acknowledged_at         | timestamp with time zone |         | YES         | 
 assignments             | started_at              | timestamp with time zone |         | YES         | 
 assignments             | completed_at            | timestamp with time zone |         | YES         | 
 assignments             | meta_data               | jsonb                    |         | YES         | 
 assignments             | created_at              | timestamp with time zone |         | NO          | now()
 assignments             | updated_at              | timestamp with time zone |         | NO          | now()
 assignments             | pharmacy_id             | character varying        |      36 | YES         | 
 audit_enhanced          | id                      | bigint                   |         | NO          | nextval('audit_enhanced_id_seq'::regclass)
 audit_enhanced          | pharmacy_id             | character varying        |      36 | YES         | 
 audit_enhanced          | user_id                 | character varying        |      36 | YES         | 
 audit_enhanced          | action                  | character varying        |     100 | NO          | 
 audit_enhanced          | entity_type             | character varying        |      50 | YES         | 
 audit_enhanced          | entity_id               | character varying        |     100 | YES         | 
 audit_enhanced          | old_values              | jsonb                    |         | YES         | 
 audit_enhanced          | new_values              | jsonb                    |         | YES         | 
 audit_enhanced          | metadata                | jsonb                    |         | YES         | '{}'::jsonb
 audit_enhanced          | ip_address              | character varying        |      45 | YES         | 
 audit_enhanced          | user_agent              | character varying        |     300 | YES         | 
 audit_enhanced          | severity                | character varying        |      20 | YES         | 'info'::character varying
 audit_enhanced          | created_at              | timestamp with time zone |         | YES         | now()
 audit_logs              | id                      | integer                  |         | NO          | nextval('audit_logs_id_seq'::regclass)
 audit_logs              | user_id                 | character varying        |      36 | NO          | 
 audit_logs              | username                | character varying        |      50 | NO          | 
 audit_logs              | action                  | character varying        |      50 | NO          | 
 audit_logs              | entity                  | character varying        |      50 | NO          | 
 audit_logs              | entity_id               | character varying        |     100 | NO          | 
 audit_logs              | details                 | text                     |         | NO          | 
 audit_logs              | ip_address              | character varying        |      45 | NO          | 
 audit_logs              | user_agent              | character varying        |     300 | NO          | 
 audit_logs              | created_at              | timestamp with time zone |         | NO          | now()
 chat_sessions           | id                      | character varying        |      36 | NO          | 
 chat_sessions           | user_id                 | character varying        |      36 | NO          | 
 chat_sessions           | messages                | text                     |         | NO          | 
 chat_sessions           | expires_at              | timestamp with time zone |         | NO          | 
 chat_sessions           | created_at              | timestamp with time zone |         | NO          | now()
 chat_sessions           | updated_at              | timestamp with time zone |         | NO          | now()
 chat_sessions           | pharmacy_id             | character varying        |      36 | YES         | 
