═══════════════════════════════════════════════════════════
  ALL CONSTRAINTS
═══════════════════════════════════════════════════════════
    table_name     |                constraint_name                | constraint_type |   column_name   |   foreign_table   | foreign_column 
-------------------+-----------------------------------------------+-----------------+-----------------+-------------------+----------------
 alerts            | 2200_17353_1_not_null                         | CHECK           |                 |                   | 
 alerts            | 2200_17353_3_not_null                         | CHECK           |                 |                   | 
 alerts            | 2200_17353_5_not_null                         | CHECK           |                 |                   | 
 alerts            | alerts_pharmacy_id_fkey                       | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 alerts            | alerts_resolved_by_fkey                       | FOREIGN KEY     | resolved_by     | users             | id
 alerts            | alerts_pkey                                   | PRIMARY KEY     | id              | alerts            | id
 api_keys          | 2200_17250_1_not_null                         | CHECK           |                 |                   | 
 api_keys          | 2200_17250_3_not_null                         | CHECK           |                 |                   | 
 api_keys          | 2200_17250_4_not_null                         | CHECK           |                 |                   | 
 api_keys          | 2200_17250_5_not_null                         | CHECK           |                 |                   | 
 api_keys          | api_keys_pharmacy_id_fkey                     | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 api_keys          | api_keys_pkey                                 | PRIMARY KEY     | id              | api_keys          | id
 api_keys          | api_keys_key_hash_key                         | UNIQUE          | key_hash        | api_keys          | key_hash
 assignments       | 2200_16517_17_not_null                        | CHECK           |                 |                   | 
 assignments       | 2200_16517_18_not_null                        | CHECK           |                 |                   | 
 assignments       | 2200_16517_1_not_null                         | CHECK           |                 |                   | 
 assignments       | 2200_16517_2_not_null                         | CHECK           |                 |                   | 
 assignments       | 2200_16517_3_not_null                         | CHECK           |                 |                   | 
 assignments       | 2200_16517_8_not_null                         | CHECK           |                 |                   | 
 assignments       | assignments_pharmacy_id_fkey                  | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 assignments       | assignments_report_id_fkey                    | FOREIGN KEY     | report_id       | reports           | id
 assignments       | assignments_team_member_id_fkey               | FOREIGN KEY     | team_member_id  | team_members      | id
 assignments       | assignments_pkey                              | PRIMARY KEY     | id              | assignments       | id
 audit_enhanced    | 2200_17332_1_not_null                         | CHECK           |                 |                   | 
 audit_enhanced    | 2200_17332_4_not_null                         | CHECK           |                 |                   | 
 audit_enhanced    | audit_enhanced_pharmacy_id_fkey               | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 audit_enhanced    | audit_enhanced_user_id_fkey                   | FOREIGN KEY     | user_id         | users             | id
 audit_enhanced    | audit_enhanced_pkey                           | PRIMARY KEY     | id              | audit_enhanced    | id
 audit_logs        | 2200_16418_10_not_null                        | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_1_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_2_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_3_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_4_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_5_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_6_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_7_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_8_not_null                         | CHECK           |                 |                   | 
 audit_logs        | 2200_16418_9_not_null                         | CHECK           |                 |                   | 
 audit_logs        | audit_logs_pkey                               | PRIMARY KEY     | id              | audit_logs        | id
 chat_sessions     | 2200_16432_1_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | 2200_16432_2_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | 2200_16432_3_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | 2200_16432_4_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | 2200_16432_5_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | 2200_16432_6_not_null                         | CHECK           |                 |                   | 
 chat_sessions     | chat_sessions_pharmacy_id_fkey                | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 chat_sessions     | chat_sessions_pkey                            | PRIMARY KEY     | id              | chat_sessions     | id
 daily_metrics     | 2200_17315_1_not_null                         | CHECK           |                 |                   | 
 daily_metrics     | 2200_17315_2_not_null                         | CHECK           |                 |                   | 
 daily_metrics     | daily_metrics_pkey                            | PRIMARY KEY     | id              | daily_metrics     | id
 daily_metrics     | daily_metrics_date_key                        | UNIQUE          | date            | daily_metrics     | date
 feature_flags     | 2200_17375_1_not_null                         | CHECK           |                 |                   | 
 feature_flags     | 2200_17375_2_not_null                         | CHECK           |                 |                   | 
 feature_flags     | 2200_17375_3_not_null                         | CHECK           |                 |                   | 
 feature_flags     | feature_flags_pkey                            | PRIMARY KEY     | id              | feature_flags     | id
 feature_flags     | feature_flags_key_key                         | UNIQUE          | key             | feature_flags     | key
 invoices          | 2200_17226_1_not_null                         | CHECK           |                 |                   | 
 invoices          | 2200_17226_2_not_null                         | CHECK           |                 |                   | 
 invoices          | 2200_17226_4_not_null                         | CHECK           |                 |                   | 
 invoices          | 2200_17226_5_not_null                         | CHECK           |                 |                   | 
 invoices          | 2200_17226_7_not_null                         | CHECK           |                 |                   | 
 invoices          | invoices_pharmacy_id_fkey                     | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 invoices          | invoices_subscription_id_fkey                 | FOREIGN KEY     | subscription_id | subscriptions     | id
 invoices          | invoices_pkey                                 | PRIMARY KEY     | id              | invoices          | id
 invoices          | invoices_invoice_number_key                   | UNIQUE          | invoice_number  | invoices          | invoice_number
 messages          | 2200_16470_12_not_null                        | CHECK           |                 |                   | 
 messages          | 2200_16470_19_not_null                        | CHECK           |                 |                   | 
 messages          | 2200_16470_1_not_null                         | CHECK           |                 |                   | 
 messages          | 2200_16470_3_not_null                         | CHECK           |                 |                   | 
 messages          | 2200_16470_6_not_null                         | CHECK           |                 |                   | 
 messages          | 2200_16470_9_not_null                         | CHECK           |                 |                   | 
 messages          | messages_pharmacy_id_fkey                     | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 messages          | messages_pkey                                 | PRIMARY KEY     | id              | messages          | id
 notifications     | 2200_17270_1_not_null                         | CHECK           |                 |                   | 
 notifications     | 2200_17270_4_not_null                         | CHECK           |                 |                   | 
 notifications     | 2200_17270_5_not_null                         | CHECK           |                 |                   | 
 notifications     | notifications_pharmacy_id_fkey                | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 notifications     | notifications_user_id_fkey                    | FOREIGN KEY     | user_id         | users             | id
 notifications     | notifications_pkey                            | PRIMARY KEY     | id              | notifications     | id
 pharmacies        | 2200_17133_1_not_null                         | CHECK           |                 |                   | 
 pharmacies        | 2200_17133_2_not_null                         | CHECK           |                 |                   | 
 pharmacies        | pharmacies_pkey                               | PRIMARY KEY     | id              | pharmacies        | id
 products          | 2200_16404_10_not_null                        | CHECK           |                 |                   | 
 products          | 2200_16404_1_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_2_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_3_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_4_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_5_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_6_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_7_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_8_not_null                         | CHECK           |                 |                   | 
 products          | 2200_16404_9_not_null                         | CHECK           |                 |                   | 
 products          | products_pharmacy_id_fkey                     | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 products          | products_pkey                                 | PRIMARY KEY     | id              | products          | id
 reports           | 2200_16489_11_not_null                        | CHECK           |                 |                   | 
 reports           | 2200_16489_1_not_null                         | CHECK           |                 |                   | 
 reports           | 2200_16489_3_not_null                         | CHECK           |                 |                   | 
 reports           | 2200_16489_5_not_null                         | CHECK           |                 |                   | 
 reports           | 2200_16489_6_not_null                         | CHECK           |                 |                   | 
 reports           | 2200_16489_8_not_null                         | CHECK           |                 |                   | 
 reports           | reports_assigned_to_fkey                      | FOREIGN KEY     | assigned_to     | team_members      | id
 reports           | reports_message_id_fkey                       | FOREIGN KEY     | message_id      | messages          | id
 reports           | reports_pharmacy_id_fkey                      | FOREIGN KEY     | pharmacy_id     | pharmacies        | id
 reports           | reports_pkey                                  | PRIMARY KEY     | id              | reports           | id
 sessions_enhanced | 2200_17390_1_not_null                         | CHECK           |                 |                   | 
 sessions_enhanced | 2200_17390_2_not_null                         | CHECK           |                 |                   | 
