═══════════════════════════════════════════════════════════
  ALL INDEXES
═══════════════════════════════════════════════════════════
     tablename     |                   indexname                   |                                                               indexdef                                                               
-------------------+-----------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------------
 alerts            | alerts_pkey                                   | CREATE UNIQUE INDEX alerts_pkey ON public.alerts USING btree (id)
 alerts            | idx_alerts_pharmacy                           | CREATE INDEX idx_alerts_pharmacy ON public.alerts USING btree (pharmacy_id, created_at DESC)
 alerts            | idx_alerts_unresolved                         | CREATE INDEX idx_alerts_unresolved ON public.alerts USING btree (is_resolved, severity) WHERE (is_resolved = false)
 api_keys          | api_keys_key_hash_key                         | CREATE UNIQUE INDEX api_keys_key_hash_key ON public.api_keys USING btree (key_hash)
 api_keys          | api_keys_pkey                                 | CREATE UNIQUE INDEX api_keys_pkey ON public.api_keys USING btree (id)
 api_keys          | idx_api_keys_pharmacy                         | CREATE INDEX idx_api_keys_pharmacy ON public.api_keys USING btree (pharmacy_id)
 api_keys          | idx_api_keys_prefix                           | CREATE INDEX idx_api_keys_prefix ON public.api_keys USING btree (key_prefix)
 assignments       | assignments_pkey                              | CREATE UNIQUE INDEX assignments_pkey ON public.assignments USING btree (id)
 assignments       | idx_assignment_member_status                  | CREATE INDEX idx_assignment_member_status ON public.assignments USING btree (team_member_id, status)
 assignments       | idx_assignment_report                         | CREATE INDEX idx_assignment_report ON public.assignments USING btree (report_id)
 assignments       | idx_assignment_sla                            | CREATE INDEX idx_assignment_sla ON public.assignments USING btree (sla_deadline, status)
 assignments       | ix_assignments_status                         | CREATE INDEX ix_assignments_status ON public.assignments USING btree (status)
 assignments       | ix_assignments_team_member_id                 | CREATE INDEX ix_assignments_team_member_id ON public.assignments USING btree (team_member_id)
 audit_enhanced    | audit_enhanced_pkey                           | CREATE UNIQUE INDEX audit_enhanced_pkey ON public.audit_enhanced USING btree (id)
 audit_enhanced    | idx_audit_enhanced_pharmacy                   | CREATE INDEX idx_audit_enhanced_pharmacy ON public.audit_enhanced USING btree (pharmacy_id, created_at DESC)
 audit_enhanced    | idx_audit_enhanced_user                       | CREATE INDEX idx_audit_enhanced_user ON public.audit_enhanced USING btree (user_id)
 audit_logs        | audit_logs_pkey                               | CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
 audit_logs        | ix_audit_logs_action                          | CREATE INDEX ix_audit_logs_action ON public.audit_logs USING btree (action)
 audit_logs        | ix_audit_logs_entity                          | CREATE INDEX ix_audit_logs_entity ON public.audit_logs USING btree (entity)
 audit_logs        | ix_audit_logs_entity_id                       | CREATE INDEX ix_audit_logs_entity_id ON public.audit_logs USING btree (entity_id)
 audit_logs        | ix_audit_logs_user_id                         | CREATE INDEX ix_audit_logs_user_id ON public.audit_logs USING btree (user_id)
 chat_sessions     | chat_sessions_pkey                            | CREATE UNIQUE INDEX chat_sessions_pkey ON public.chat_sessions USING btree (id)
 chat_sessions     | ix_chat_sessions_user_id                      | CREATE INDEX ix_chat_sessions_user_id ON public.chat_sessions USING btree (user_id)
 daily_metrics     | daily_metrics_date_key                        | CREATE UNIQUE INDEX daily_metrics_date_key ON public.daily_metrics USING btree (date)
 daily_metrics     | daily_metrics_pkey                            | CREATE UNIQUE INDEX daily_metrics_pkey ON public.daily_metrics USING btree (id)
 feature_flags     | feature_flags_key_key                         | CREATE UNIQUE INDEX feature_flags_key_key ON public.feature_flags USING btree (key)
 feature_flags     | feature_flags_pkey                            | CREATE UNIQUE INDEX feature_flags_pkey ON public.feature_flags USING btree (id)
 invoices          | idx_invoices_pharmacy                         | CREATE INDEX idx_invoices_pharmacy ON public.invoices USING btree (pharmacy_id)
 invoices          | idx_invoices_status                           | CREATE INDEX idx_invoices_status ON public.invoices USING btree (status)
 invoices          | invoices_invoice_number_key                   | CREATE UNIQUE INDEX invoices_invoice_number_key ON public.invoices USING btree (invoice_number)
 invoices          | invoices_pkey                                 | CREATE UNIQUE INDEX invoices_pkey ON public.invoices USING btree (id)
 messages          | idx_message_class_priority                    | CREATE INDEX idx_message_class_priority ON public.messages USING btree (classification, priority)
 messages          | idx_message_from_date                         | CREATE INDEX idx_message_from_date ON public.messages USING btree (from_phone, received_at)
 messages          | idx_message_processed                         | CREATE INDEX idx_message_processed ON public.messages USING btree (processed, received_at)
 messages          | idx_messages_pharmacy                         | CREATE INDEX idx_messages_pharmacy ON public.messages USING btree (pharmacy_id)
 messages          | ix_messages_meta_data_gin                     | CREATE INDEX ix_messages_meta_data_gin ON public.messages USING gin (meta_data)
 messages          | ix_messages_processed_at                      | CREATE INDEX ix_messages_processed_at ON public.messages USING btree (processed_at) WHERE (processed_at IS NOT NULL)
 messages          | ix_messages_whatsapp_id                       | CREATE UNIQUE INDEX ix_messages_whatsapp_id ON public.messages USING btree (whatsapp_id)
 messages          | messages_pkey                                 | CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
 notifications     | idx_notifications_pharmacy                    | CREATE INDEX idx_notifications_pharmacy ON public.notifications USING btree (pharmacy_id)
 notifications     | idx_notifications_unread                      | CREATE INDEX idx_notifications_unread ON public.notifications USING btree (user_id, is_read) WHERE (is_read = false)
 notifications     | idx_notifications_user                        | CREATE INDEX idx_notifications_user ON public.notifications USING btree (user_id)
 notifications     | notifications_pkey                            | CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
 pharmacies        | idx_pharmacies_active                         | CREATE INDEX idx_pharmacies_active ON public.pharmacies USING btree (is_active)
 pharmacies        | pharmacies_pkey                               | CREATE UNIQUE INDEX pharmacies_pkey ON public.pharmacies USING btree (id)
 products          | idx_products_pharmacy                         | CREATE INDEX idx_products_pharmacy ON public.products USING btree (pharmacy_id)
 products          | ix_products_category                          | CREATE INDEX ix_products_category ON public.products USING btree (category)
 products          | ix_products_item_code                         | CREATE UNIQUE INDEX ix_products_item_code ON public.products USING btree (item_code)
 products          | ix_products_name                              | CREATE INDEX ix_products_name ON public.products USING btree (name)
 products          | products_pkey                                 | CREATE UNIQUE INDEX products_pkey ON public.products USING btree (id)
 reports           | idx_report_assigned_status                    | CREATE INDEX idx_report_assigned_status ON public.reports USING btree (assigned_to, status)
 reports           | idx_report_status_priority                    | CREATE INDEX idx_report_status_priority ON public.reports USING btree (status, priority)
 reports           | idx_report_type_status                        | CREATE INDEX idx_report_type_status ON public.reports USING btree (type, status)
 reports           | idx_reports_pharmacy                          | CREATE INDEX idx_reports_pharmacy ON public.reports USING btree (pharmacy_id)
 reports           | ix_reports_assigned_at                        | CREATE INDEX ix_reports_assigned_at ON public.reports USING btree (assigned_at) WHERE (assigned_at IS NOT NULL)
 reports           | ix_reports_category                           | CREATE INDEX ix_reports_category ON public.reports USING btree (category)
 reports           | ix_reports_content_gin                        | CREATE INDEX ix_reports_content_gin ON public.reports USING gin (content)
 reports           | ix_reports_created_at                         | CREATE INDEX ix_reports_created_at ON public.reports USING btree (created_at)
 reports           | ix_reports_message_id                         | CREATE INDEX ix_reports_message_id ON public.reports USING btree (message_id)
 reports           | ix_reports_sla_deadline                       | CREATE INDEX ix_reports_sla_deadline ON public.reports USING btree (sla_deadline) WHERE (sla_deadline IS NOT NULL)
 reports           | reports_pkey                                  | CREATE UNIQUE INDEX reports_pkey ON public.reports USING btree (id)
 sessions_enhanced | idx_sessions_enhanced_active                  | CREATE INDEX idx_sessions_enhanced_active ON public.sessions_enhanced USING btree (is_active, expires_at)
 sessions_enhanced | idx_sessions_enhanced_user                    | CREATE INDEX idx_sessions_enhanced_user ON public.sessions_enhanced USING btree (user_id)
 sessions_enhanced | sessions_enhanced_pkey                        | CREATE UNIQUE INDEX sessions_enhanced_pkey ON public.sessions_enhanced USING btree (id)
 subscriptions     | idx_subscriptions_pharmacy                    | CREATE INDEX idx_subscriptions_pharmacy ON public.subscriptions USING btree (pharmacy_id)
 subscriptions     | idx_subscriptions_status                      | CREATE INDEX idx_subscriptions_status ON public.subscriptions USING btree (status)
 subscriptions     | subscriptions_pkey                            | CREATE UNIQUE INDEX subscriptions_pkey ON public.subscriptions USING btree (id)
 team_members      | idx_team_load                                 | CREATE INDEX idx_team_load ON public.team_members USING btree (current_load, is_available)
 team_members      | idx_team_role_active                          | CREATE INDEX idx_team_role_active ON public.team_members USING btree (role, is_active)
 team_members      | idx_team_shift_active                         | CREATE INDEX idx_team_shift_active ON public.team_members USING btree (shift, is_active)
 team_members      | ix_team_members_is_active                     | CREATE INDEX ix_team_members_is_active ON public.team_members USING btree (is_active)
 team_members      | ix_team_members_phone                         | CREATE UNIQUE INDEX ix_team_members_phone ON public.team_members USING btree (phone)
 team_members      | team_members_email_key                        | CREATE UNIQUE INDEX team_members_email_key ON public.team_members USING btree (email)
 team_members      | team_members_pkey                             | CREATE UNIQUE INDEX team_members_pkey ON public.team_members USING btree (id)
 usage_stats       | idx_usage_stats_pharmacy_date                 | CREATE INDEX idx_usage_stats_pharmacy_date ON public.usage_stats USING btree (pharmacy_id, date DESC)
 usage_stats       | usage_stats_pharmacy_id_date_key              | CREATE UNIQUE INDEX usage_stats_pharmacy_id_date_key ON public.usage_stats USING btree (pharmacy_id, date)
 usage_stats       | usage_stats_pkey                              | CREATE UNIQUE INDEX usage_stats_pkey ON public.usage_stats USING btree (id)
 users             | ix_users_email                                | CREATE UNIQUE INDEX ix_users_email ON public.users USING btree (email)
 users             | ix_users_phone                                | CREATE UNIQUE INDEX ix_users_phone ON public.users USING btree (phone)
 users             | ix_users_role                                 | CREATE INDEX ix_users_role ON public.users USING btree (role)
 users             | ix_users_username                             | CREATE UNIQUE INDEX ix_users_username ON public.users USING btree (username)
 users             | users_pkey                                    | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
