═══════════════════════════════════════════════════════════
  TABLE STATISTICS
═══════════════════════════════════════════════════════════
 schemaname |    table_name     | seq_scan | seq_tup_read | idx_scan | idx_tup_fetch | inserts | updates | deletes | live_rows | dead_rows | last_vacuum |        last_autovacuum        |         last_analyze          
------------+-------------------+----------+--------------+----------+---------------+---------+---------+---------+-----------+-----------+-------------+-------------------------------+-------------------------------
 public     | alerts            |       12 |            3 |        1 |             0 |       1 |       0 |       0 |         1 |         0 |             |                               | 
 public     | api_keys          |       10 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | assignments       |      115 |        16599 |      121 |           111 |     197 |     195 |       0 |       195 |         0 |             | 2026-09-20 04:21:47.430427+03 | 2026-09-19 07:08:47.017454+03
 public     | audit_enhanced    |        4 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | audit_logs        |       14 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 2026-09-19 07:08:47.006315+03
 public     | chat_sessions     |       14 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 2026-09-19 07:08:47.015573+03
 public     | daily_metrics     |        3 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | feature_flags     |       13 |           77 |       16 |             9 |       7 |       2 |       0 |         7 |         2 |             |                               | 
 public     | invoices          |        5 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | messages          |      819 |       312993 |    40810 |         42742 |    6922 |   20733 |       0 |      6911 |         0 |             | 2026-09-20 04:21:46.793678+03 | 2026-09-19 07:08:47.059817+03
 public     | notifications     |        8 |            1 |        1 |             0 |       1 |       0 |       0 |         1 |         0 |             |                               | 
 public     | pharmacies        |      124 |          204 |    14786 |         14786 |       3 |       8 |       2 |         1 |        10 |             |                               | 
 public     | products          |       20 |        12096 |      834 |          1512 |    2268 |     756 |    1512 |       756 |         0 |             | 2026-09-20 04:21:46.735855+03 | 2026-09-19 07:08:46.994871+03
 public     | reports           |       53 |       168257 |     7699 |          8832 |    6913 |    7106 |       0 |      6911 |         0 |             | 2026-09-20 04:21:47.157593+03 | 2026-09-19 07:08:47.18745+03
 public     | sessions_enhanced |        4 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | subscriptions     |       11 |            8 |        2 |             1 |       1 |       0 |       0 |         1 |         0 |             |                               | 
 public     | team_members      |     7292 |        71205 |      474 |           444 |      20 |     205 |      10 |        10 |        10 |             | 2026-09-19 01:00:59.085086+03 | 2026-09-19 07:08:47.026234+03
 public     | usage_stats       |        6 |            0 |        0 |             0 |       0 |       0 |       0 |         0 |         0 |             |                               | 
 public     | users             |    34260 |       172806 |    45497 |         45492 |      15 |       4 |       8 |         7 |        12 |             |                               | 2026-09-19 07:08:47.007339+03
 public     | whatsapp_numbers  |      165 |          155 |        0 |             0 |       6 |       0 |       6 |         0 |         6 |             |                               | 
(20 rows)

