═══════════════════════════════════════════════════════════
  TABLE SIZES
═══════════════════════════════════════════════════════════
     tablename     | total_size | table_size | indexes_size 
-------------------+------------+------------+--------------
 reports           | 12 MB      | 6736 kB    | 6000 kB
 messages          | 5768 kB    | 2896 kB    | 2872 kB
 products          | 528 kB     | 240 kB     | 288 kB
 assignments       | 312 kB     | 104 kB     | 208 kB
 team_members      | 128 kB     | 8192 bytes | 120 kB
 users             | 96 kB      | 8192 bytes | 88 kB
 notifications     | 80 kB      | 8192 bytes | 72 kB
 alerts            | 64 kB      | 8192 bytes | 56 kB
 whatsapp_numbers  | 64 kB      | 8192 bytes | 56 kB
 subscriptions     | 56 kB      | 8192 bytes | 48 kB
 audit_logs        | 48 kB      | 0 bytes    | 48 kB
 pharmacies        | 48 kB      | 8192 bytes | 40 kB
 feature_flags     | 48 kB      | 8192 bytes | 40 kB
 invoices          | 40 kB      | 0 bytes    | 40 kB
 api_keys          | 40 kB      | 0 bytes    | 40 kB
 audit_enhanced    | 32 kB      | 0 bytes    | 32 kB
 sessions_enhanced | 32 kB      | 0 bytes    | 32 kB
 usage_stats       | 24 kB      | 0 bytes    | 24 kB
 chat_sessions     | 24 kB      | 0 bytes    | 24 kB
 daily_metrics     | 16 kB      | 0 bytes    | 16 kB
(20 rows)

